Wall time,Step,Value
1769027881.3567398,18191,56.0
1769027921.1171443,18215,24.0
1769027943.4403722,18237,30.0
1769027971.6410475,18265,75.0
1769028040.9909892,18319,40.0
1769028085.3707073,18363,29.0
1769028189.997481,18452,44.0
1769028190.9742417,18453,40.0
1769028292.6796217,18540,95.0
1769028300.7335172,18548,6.0
1769028346.1780634,18593,28.0
1769028422.020328,18653,38.0
1769028498.68003,18714,22.0
1769028505.8844059,18721,33.0
1769028534.6133847,18750,45.0
1769028571.1662252,18787,41.0
1769028603.3736126,18804,20.0
1769028645.4160292,18846,20.0
1769028693.5422487,18894,31.0
1769028748.1875162,18934,42.0
1769028771.9592347,18959,56.0
1769028790.1386738,18978,64.0
1769028794.8616102,18983,52.0
1769028832.395383,19006,32.0
1769028854.2231603,19028,24.0
1769028874.900431,19049,24.0
1769028921.5766342,19096,31.0
1769028957.7215772,19117,22.0
1769028994.655471,19154,18.0
1769029010.62535,19170,25.0
1769029084.0339372,19228,16.0
1769029128.0707228,19272,53.0
1769029132.113775,19276,26.0
1769029173.060877,19301,44.0
1769029375.3421168,19486,41.0
1769029406.0858874,19501,32.0
1769029409.1777887,19504,64.0
1769029431.123947,19526,2.0
1769029437.1363163,19532,32.0
1769029460.359562,19555,86.0
1769029485.6509519,19580,30.0
1769029501.049113,19595,18.0
1769029557.525123,19635,38.0
1769029563.483041,19641,28.0
1769029577.814005,19655,52.0
1769029588.7597485,19666,43.0
1769029597.706895,19675,12.0
1769029660.043895,19721,16.0
1769029667.0058727,19728,10.0
1769029671.0611372,19732,44.0
1769029677.0652041,19738,90.0
1769029736.0102024,19797,38.0
1769029778.940114,19824,22.0
1769029802.2689764,19847,40.0
1769029887.1838486,19917,30.0
1769029909.4806724,19939,28.0
1769029942.5426526,19972,16.0
1769029950.6079252,19980,8.0
1769029959.6393652,19989,78.0
1769029966.6411061,19996,12.0
1769060051.8899958,20035,22.0
1769060071.907019,20048,64.0
1769060079.5840504,20053,66.0
1769060087.5585318,20059,42.0
1769060090.8134143,20062,48.0
1769060602.6417718,20069,31.0
1769060604.2073808,20070,8.0
1769060607.3663967,20072,12.0
1769060694.4472425,20114,50.0
1769060699.3620126,20117,36.0
1769061185.6295865,20115,28.0
1769061225.860064,20142,31.0
1769061230.4199033,20145,39.0
1769061237.705508,20150,38.0
1769061340.8902948,20206,4.0
1769061363.2305572,20221,14.0
1769061377.0737717,20230,12.0
1769061379.98369,20232,19.0
1769061437.9049406,20271,75.0
1769061452.638457,20281,94.0
1769061473.422759,20295,10.0
1769061555.1949136,20338,4.0
1769061586.6761618,20360,100.0
1769061620.3058524,20383,36.0
1769061695.3653536,20424,56.0
1769061712.8000915,20437,31.0
1769061714.2216678,20438,8.0
1769061743.156134,20458,58.0
1769061746.037273,20460,32.0
1769061751.7781131,20465,34.0
1769061765.008057,20476,66.0
1769061942.1366494,20586,24.0
1769061943.5689251,20587,48.0
1769061987.0920436,20604,18.0
1769061993.0063357,20608,60.0
1769062048.4294271,20645,26.0
1769062094.8364758,20676,38.0
1769062096.2915943,20677,20.0
1769062100.8508236,20680,49.0
1769062102.4386525,20681,40.0
1769062181.9051108,20720,51.0
1769062195.3496718,20729,36.0
1769062231.3904908,20753,26.0
1769062281.4380534,20786,28.0
1769062336.3100653,20810,140.0
1769062337.8138971,20811,20.0
1769062394.2508016,20847,4.0
1769062453.8408744,20885,28.0
1769062535.0166245,20925,24.0
1769062545.423694,20933,58.0
1769062546.949559,20934,36.0
1769062592.5854695,20965,50.0
1769062603.2249632,20974,16.0
1769062609.1319137,20978,28.0
1769062724.1785796,21042,22.0
1769062841.3406708,21107,28.0
1769062876.4549284,21130,46.0
1769063022.739572,21214,42.0
1769063027.2769594,21217,20.0
1769063034.8382976,21222,26.0
1769063136.7191877,21289,32.0
1769063183.6046917,21307,85.0
1769063298.3757777,21382,18.0
1769063374.2068853,21421,18.0
1769063375.4030197,21422,32.0
1769063487.8116467,21498,143.0
1769063524.3458037,21509,16.0
1769063631.4336836,21579,45.0
1769063651.3789985,21592,29.0
1769063714.749987,21621,19.0
1769063716.2504177,21622,82.0
1769063779.9792094,21663,47.0
1769063817.133091,21687,125.0
1769063826.2623856,21693,88.0
1769063876.4433537,21713,22.0
1769063885.481193,21719,49.0
1769063917.8077111,21740,39.0
1769063926.9322584,21746,144.0
1769064038.1095328,21806,14.0
1769064129.1435125,21865,37.0
1769064177.8639908,21897,6.0
1769064207.790139,21904,17.0
1769064325.9725366,21988,57.0
1769064564.5428798,22118,18.0
1769064603.3193367,22143,41.0
1769064623.3076909,22156,12.0
1769064664.8426435,22183,86.0
1769064675.6653235,22190,16.0
1769064711.9930341,22201,16.0
1769064719.780695,22206,20.0
1769064730.600162,22213,6.0
1769064732.1672645,22214,30.0
1769064753.6645553,22228,25.0
1769064796.872626,22256,28.0
1769064922.5577407,22325,43.0
1769064927.1506858,22328,34.0
1769064992.4881146,22370,20.0
1769065060.836886,22405,100.0
1769065114.5950434,22442,89.0
1769065265.884324,22533,8.0
1769065268.8174367,22535,122.0
1769065289.4729042,22549,22.0
1769065471.2093823,22656,86.0
1769065481.812003,22663,79.0
1769065500.3571455,22675,26.0
1769065595.7840593,22724,42.0
1769065598.7809658,22726,15.0
1769065615.6984687,22737,36.0
1769065617.2497067,22738,31.0
1769065624.9292722,22743,23.0
1769065773.2209442,22828,44.0
1769065777.7627783,22831,90.0
1769065779.2508104,22832,26.0
1769066023.1183217,22978,15.0
1769066029.19587,22982,12.0
1769066030.6168547,22983,24.0
1769066076.1918359,23000,12.0
1769066099.1730654,23015,25.0
1769066114.3365812,23025,72.0
1769066131.079455,23036,18.0
1769066138.6074252,23041,46.0
1769066146.1202304,23046,34.0
1769066152.0932693,23050,38.0
1769066161.1621778,23056,10.0
1769066197.0937135,23080,11.0
1769066212.191766,23090,12.0
1769066270.9210265,23116,30.0
1769066273.9549885,23118,28.0
1769066287.3314698,23127,12.0
1769066338.1889894,23161,12.0
1769066372.7569013,23184,139.0
1769066442.935759,23218,18.0
1769066468.4295042,23235,67.0
1769066505.1434286,23259,32.0
1769066533.8493643,23278,15.0
1769066554.855134,23292,32.0
1769066624.440017,23325,41.0
1769066804.9292357,23438,42.0
1769066879.5250926,23487,52.0
1769066993.5302596,23548,20.0
1769067024.181227,23568,24.0
1769067040.6075072,23579,34.0
1769067070.2028115,23599,28.0
1769067182.9050405,23659,34.0
1769067202.8059876,23672,10.0
1769067281.8099105,23709,108.0
1769067312.9665313,23729,40.0
1769067331.796949,23740,15.0
1769067489.6595733,23826,21.0
1769067505.5720162,23836,41.0
1769067657.4857678,23923,43.0
1769067747.0002925,23977,18.0
1769067828.180207,24014,34.0
1769067831.2721207,24016,20.0
1769067877.9136052,24045,74.0
1769067940.6617365,24084,18.0
1769068034.7870097,24132,30.0
1769068110.2764244,24180,28.0
1769068113.6192267,24182,23.0
1769068126.4720457,24190,8.0
1769068192.720307,24220,40.0
1769068228.5820425,24243,44.0
1769068251.393032,24257,52.0
1769068362.5734198,24314,13.0
1769068528.3705451,24410,16.0
1769068599.8856962,24455,12.0
1769068606.1452498,24459,56.0
1769068720.7019417,24519,38.0
1769068797.43191,24565,36.0
1769068846.3968449,24595,10.0
1769068903.0621157,24617,6.0
1769068916.7421093,24625,42.0
1769069020.6460426,24688,29.0
1769069135.62991,24747,24.0
1769069183.3845432,24777,34.0
1769069207.7156205,24793,23.0
1769069217.158328,24799,16.0
1769069281.544396,24832,20.0
1769069322.1098626,24861,41.0
